[2024-04-21 13:59:20,638: INFO: main: this is out custom log]
[2024-04-23 16:29:42,711: INFO: common: yaml file: A:\MlProject\RED_WINE_QUALITY\config\config.yaml loaded successfully]
[2024-04-23 16:29:42,713: INFO: common: yaml file: A:\MlProject\RED_WINE_QUALITY\params.yaml loaded successfully]
[2024-04-23 16:29:42,716: INFO: common: yaml file: A:\MlProject\RED_WINE_QUALITY\schema.yaml loaded successfully]
[2024-04-23 16:29:42,718: INFO: common: created directory at: artifacts]
[2024-04-23 16:29:42,719: INFO: common: created directory at: artifacts/data_ingestion]
[2024-04-23 16:30:22,287: INFO: common: yaml file: A:\MlProject\RED_WINE_QUALITY\config\config.yaml loaded successfully]
[2024-04-23 16:30:22,288: INFO: common: yaml file: A:\MlProject\RED_WINE_QUALITY\params.yaml loaded successfully]
[2024-04-23 16:30:22,291: INFO: common: yaml file: A:\MlProject\RED_WINE_QUALITY\schema.yaml loaded successfully]
[2024-04-23 16:30:22,293: INFO: common: created directory at: artifacts]
[2024-04-23 16:30:22,294: INFO: common: created directory at: artifacts/data_ingestion]
[2024-04-23 16:31:12,207: INFO: common: yaml file: A:\MlProject\RED_WINE_QUALITY\config\config.yaml loaded successfully]
[2024-04-23 16:31:12,208: INFO: common: yaml file: A:\MlProject\RED_WINE_QUALITY\params.yaml loaded successfully]
[2024-04-23 16:31:12,211: INFO: common: yaml file: A:\MlProject\RED_WINE_QUALITY\schema.yaml loaded successfully]
[2024-04-23 16:31:12,213: INFO: common: created directory at: artifacts]
[2024-04-23 16:31:12,214: INFO: common: created directory at: artifacts/data_ingestion]
[2024-04-23 16:31:12,215: INFO: 951979835: File already exists of size: ~ 99 KB]
[2024-04-23 16:32:24,437: INFO: common: yaml file: A:\MlProject\RED_WINE_QUALITY\config\config.yaml loaded successfully]
[2024-04-23 16:32:24,439: INFO: common: yaml file: A:\MlProject\RED_WINE_QUALITY\params.yaml loaded successfully]
[2024-04-23 16:32:24,442: INFO: common: yaml file: A:\MlProject\RED_WINE_QUALITY\schema.yaml loaded successfully]
[2024-04-23 16:32:24,443: INFO: common: created directory at: artifacts]
[2024-04-23 16:32:24,444: INFO: common: created directory at: artifacts/data_ingestion]
[2024-04-23 16:32:24,445: INFO: 951979835: File already exists of size: ~ 99 KB]
